"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"334",13,46,0.3727,0.208,0.0523,0.3687,0.4393,0.2232,0.293,0.404,0.4355
"335",13,47,0.1746,0.0974,0.0568,0.5373,0.3787,0.2976,0.5488,0.48,0.519
"336",13,48,0.7635,0.4261,0.0693,0.288,0.3171,0.2684,0.1706,0.3611,0.3777
"337",13,49,0.5379,0.3002,0.0521,0.2595,0.2974,0.245,0.313,0.1839,0.3135
"338",13,50,0.2787,0.1555,0.0391,0.3585,0.2855,0.068,0.4016,0.4226,0.27
"339",13,51,1.1144,0.622,0.1342,0.5234,0.2955,0.475,0.3142,0.3779,0.3344
"340",13,53,0.46,0.2567,0.0241,0.2402,0.1407,0.2153,0.2349,0.2387,0.1539
"341",13,54,0.1334,0.0745,0.0252,0.193,0.2113,0.2223,0.2316,0.4,0.3754
"342",13,55,0.4158,0.2321,0.0646,0.333,0.3155,0.1588,0.3338,0.409,0.2576
"343",13,56,0.8452,0.4717,0.2699,0.3539,0.319,0.2572,0.3074,0.4722,0.4475
"344",13,72,0.0526,0.0294,0.0681,0.6235,0.6665,0.2565,0.6139,0.748,0.6555
"345",14,8,0.7451,0.4159,0.0514,0.2544,0.2293,0.2636,0.2848,0.2997,0.3723
"346",15,1,0.786,0.4387,0.2013,0.5013,0.3683,0.374,0.4658,0.5103,0.4083
"347",15,4,0.701,0.3912,0.087,0.278,0.2372,0.249,0.2963,0.2854,0.3168
"348",15,5,0.5601,0.3126,0.1246,0.3578,0.2574,0.4789,0.3865,0.3065,0.3915
"349",15,6,1.1281,0.6296,0.117,0.8043,0.3669,0.3565,0.5065,0.8841,0.5253
"350",15,8,0.5299,0.2957,0.0871,0.7953,0.2262,0.2816,0.5904,0.786,0.3507
"351",15,9,0.5731,0.3199,0.2111,0.4655,0.3098,0.6227,0.4113,0.4373,0.5975
"352",15,12,0.5776,0.3224,0.0869,0.4706,0.2655,0.2918,0.2759,0.3656,0.2606
"353",15,13,0.7281,0.4064,0.0798,0.3507,0.345,0.3198,0.2447,0.3019,0.3407
"354",15,16,0.3294,0.1839,0.0077,0.1484,0.2546,0.0931,0.1838,0.2557,0.3242
"355",15,17,0.2668,0.1489,0.0738,0.5162,0.3074,0.3005,0.4986,0.7426,0.4773
"356",15,18,0.2337,0.1304,0.0821,0.3824,0.5493,0.3885,0.4316,0.619,0.5698
"357",15,19,0.2335,0.1303,0.0453,0.4676,0.3331,0.2276,0.4228,0.4388,0.296
"358",15,20,0.4326,0.2415,0.0596,0.5304,0.35,0.1833,0.4313,0.6612,0.3719
"359",15,21,0.4652,0.2596,0.0619,0.2906,0.319,0.3331,0.2379,0.4055,0.4887
"360",15,22,0.9181,0.5124,0.1259,0.4378,0.3504,0.3724,0.2965,0.4381,0.3288
"361",15,23,0.1775,0.0991,0.0415,0.3426,0.3334,0.2695,0.4227,0.4465,0.3866
"362",15,24,0.5406,0.3017,0.0941,0.4704,0.4101,0.3031,0.2555,0.3424,0.3419
"363",15,25,0.5905,0.3295,0.101,0.4267,0.4782,0.3218,0.2401,0.2514,0.314
"364",15,26,0.2444,0.1364,0.0307,0.3867,0.2793,0.1921,0.3982,0.4476,0.3321
"365",15,27,0.2371,0.1323,0.1065,0.4825,0.2951,0.4505,0.7344,0.461,0.4877
"366",15,28,0.7489,0.418,0.1175,0.3729,0.62,0.2547,0.493,0.7176,0.4593
"367",15,29,0.2198,0.1227,0.0262,0.3768,0.2752,0.2002,0.3698,0.4267,0.3837
"368",15,30,0.6976,0.3893,0.6588,0.7828,0.3324,0.603,0.9362,0.963,0.6332
"369",15,31,0.2017,0.1126,0.009,0.3903,0.1391,0.1782,0.2121,0.5294,0.3173
"370",15,32,0.7544,0.421,0.0372,0.3568,0.0747,0.1548,0.2907,0.2913,0.0824
"371",15,33,0.3032,0.1692,0.0527,0.3252,0.3227,0.2596,0.2614,0.3541,0.2788
"372",15,34,0.7158,0.3995,0.1058,0.4245,0.3424,0.2819,0.2651,0.4379,0.3892
"373",15,35,0.8723,0.4869,0.0812,0.4199,0.3893,0.2768,0.2777,0.5025,0.5201
"374",15,36,0.5403,0.3015,0.1692,0.5709,0.4248,0.3565,0.2652,0.6905,0.5716
"375",15,37,0.8059,0.4498,0.1158,0.3611,0.5451,0.4849,0.2749,0.5638,0.6281
"376",15,38,0.3719,0.2076,0.0827,0.3878,0.334,0.2309,0.309,0.4903,0.3613
"377",15,39,0.1701,0.0949,0.0435,0.4002,0.3648,0.1774,0.414,0.4824,0.4109
"378",15,40,1.1396,0.636,0.118,0.5648,0.5391,0.3159,0.3466,0.6288,0.5555
"379",15,41,0.4968,0.2773,0.0226,0.356,0.1726,0.1869,0.3694,0.3648,0.2426
"380",15,42,0.1911,0.1067,0.0509,0.2902,0.4683,0.2093,0.3509,0.485,0.4836
"381",15,45,1.0087,0.563,0.1087,0.3476,0.3778,0.3335,0.4013,0.4891,0.3076
"382",15,46,0.4891,0.273,0.0632,0.2529,0.241,0.2146,0.2967,0.0833,0.3067
"383",15,47,0.2414,0.1347,0.0297,0.2766,0.2244,0.2002,0.2823,0.3847,0.1524
"384",15,48,0.9228,0.515,0.0701,0.3079,0.3976,0.2742,0.2451,0.3829,0.2373
"385",15,49,0.3463,0.1933,0.1015,0.331,0.3001,0.4355,0.3841,0.3345,0.3452
"386",15,50,0.2395,0.1337,0.0217,0.2351,0.2941,0.1657,0.2446,0.2509,0.2225
"387",15,51,0.3703,0.2067,0.1181,0.451,0.3417,0.307,0.4533,0.4742,0.4366
"388",15,53,0.5877,0.328,0.0622,0.3537,0.2808,0.3579,0.2722,0.3538,0.3168
"389",15,54,0.0979,0.0546,0.0392,0.589,0.372,0.3593,0.6364,0.6111,0.2525
"390",15,55,0.3627,0.2024,0.0861,0.4,0.497,0.3048,0.3553,0.3734,0.3736
"391",15,56,0.4587,0.256,0.069,0.4263,0.4732,0.2725,0.4554,0.5952,0.4788
"392",15,72,0.0619,0.0346,0.0653,0.3281,0.5141,0.4004,0.2744,0.5812,0.5303
"393",16,2,1.5813,0.8825,0.0752,0.0928,0.1862,0.0732,0.0638,0.1063,0.17
"394",17,1,0.8321,0.4644,0.1311,0.3742,0.5697,0.3531,0.3628,0.5946,0.6386
"395",17,4,1.098,0.6128,0.4652,0.674,0.418,0.3482,0.3971,0.535,0.327
"396",17,5,0.9096,0.5076,0.2097,0.4993,0.4244,0.2254,0.523,0.4895,0.5464
"397",17,6,0.7314,0.4082,0.0837,0.3637,0.4475,0.2754,0.4104,0.2681,0.4331
"398",17,8,0.4535,0.2531,0.0195,0.8009,0.0761,0.0843,0.7247,0.8182,0.0935
"399",17,12,0.4739,0.2645,0.0464,0.3418,0.3632,0.1962,0.2433,0.3943,0.3415
"400",17,13,0.9488,0.5296,0.146,0.4099,0.3586,0.4599,0.3043,0.3518,0.4513
"401",17,16,0.2871,0.1603,0.0233,0.4265,0.2021,0.1566,0.4455,0.4779,0.2518
"402",17,17,0.6395,0.3569,0.1885,0.5357,0.3072,0.5395,0.2403,0.5379,0.4872
"403",17,18,0.5786,0.3229,0.122,0.4452,0.4577,0.4364,0.3217,0.4088,0.3373
"404",17,19,0.1954,0.1091,0.0685,0.542,0.3684,0.1967,0.4706,0.3252,0.2976
"405",17,20,0.3397,0.1896,0.0776,0.5929,0.2736,0.3412,0.29,0.75,0.46
"406",17,21,0.5795,0.3234,0.1168,0.4642,0.4702,0.222,0.4201,0.5789,0.5538
"407",17,22,0.9257,0.5167,0.3266,0.6556,0.4085,0.3065,0.5128,0.6843,0.4534
"408",17,23,0.2207,0.1232,0.0516,0.315,0.4196,0.263,0.3099,0.4122,0.4257
"409",17,24,1.1018,0.6149,0.0995,0.3915,0.404,0.3594,0.1866,0.2107,0.2311
"410",17,25,0.8572,0.4784,0.1378,0.5093,0.3737,0.4664,0.3229,0.433,0.4229
