"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"2245",119,31,0.7369,0.4113,0.059,0.3317,0.2039,0.3288,0.2611,0.3984,0.2462
"2246",119,36,1.2799,0.7144,0.1989,0.6466,0.2872,0.5123,0.4076,0.5695,0.4551
"2247",119,37,1.3314,0.7431,0.1663,0.5581,0.415,0.5026,0.3054,0.4445,0.4039
"2248",119,39,0.4707,0.2627,0.0557,0.4324,0.3283,0.1891,0.306,0.5063,0.3204
"2249",119,40,1.0163,0.5672,0.041,0.3653,0.4622,0.1573,0.2682,0.4215,0.3599
"2250",119,42,0.643,0.3589,0.2058,0.685,0.4991,0.3775,0.354,0.6831,0.4368
"2251",119,46,0.3686,0.2057,0,0,0,0,0,0,0
"2252",119,47,0.8543,0.4768,0.0642,0.3472,0.2491,0.2384,0.2529,0.3897,0.2746
"2253",119,48,0.764,0.4264,0.0346,0.4487,0.2454,0.0492,0.3995,0.2033,0.1962
"2254",119,51,0.7236,0.4038,0.0404,0.2534,0.1593,0.046,0.2253,0.4112,0.2053
"2255",119,55,0.297,0.1658,0.0158,0.2123,0.2181,0.1833,0.1035,0.2099,0.1739
"2256",119,72,0.0786,0.0438,0.0454,0.4059,0.4813,0.2666,0.2624,0.547,0.6246
"2257",121,1,0.8981,0.5012,0.087,0.3043,0.3921,0.2069,0.2256,0.4548,0.3936
"2258",121,5,0.4923,0.2747,0.0551,0.3544,0.5111,0.2861,0.0683,0.1567,0.225
"2259",121,8,0.5744,0.3206,0.0055,0.2768,0.0366,0.1043,0.1725,0.3133,0.1409
"2260",121,12,0.899,0.5018,0.0592,0.3905,0.3166,0.1498,0.3301,0.2684,0.2396
"2261",121,13,1.2727,0.7103,0.2984,0.7268,0.4197,0.4043,0.5571,0.7625,0.495
"2262",121,17,0.5269,0.2941,0.0896,0.5814,0.4618,0.2503,0.3848,0.4803,0.3154
"2263",121,18,0.2718,0.1517,0.048,0.611,0.2437,0.2034,0.5556,0.6889,0.1422
"2264",121,19,0.3047,0.17,0.0096,0.3764,0.124,0.1568,0.4082,0.3953,0.1434
"2265",121,20,0.4787,0.2672,0.0104,0.3116,0.1207,0.0863,0.269,0.3638,0.1802
"2266",121,21,0.2855,0.1593,0.0374,0.5237,0.3801,0.1804,0.5058,0.5708,0.2621
"2267",121,22,1.0092,0.5633,0.0322,0.2261,0.2566,0.1237,0.129,0.3024,0.225
"2268",121,26,0.8805,0.4914,0.2018,0.7158,0.3307,0.2609,0.5022,0.706,0.4072
"2269",121,27,0.2583,0.1442,0.0122,0.1407,0.1693,0.1603,0.0456,0.1576,0.1316
"2270",121,28,0.8598,0.4798,0.0569,0.2402,0.3673,0.2763,0.2948,0.3949,0.377
"2271",121,29,0.4274,0.2385,0.041,0.4542,0.2507,0.1926,0.3768,0.4382,0.1912
"2272",121,31,0.4203,0.2346,0.0083,0.1243,0.2569,0.1295,0.2538,0.1326,0.3864
"2273",121,36,0.5287,0.2951,0.2212,0.8078,0.2664,0.4314,0.3793,0.6791,0.3597
"2274",121,37,0.4067,0.227,0.0243,0.3108,0.1665,0.2567,0.1135,0.2325,0.2832
"2275",121,39,0.4011,0.2238,0.2265,0.824,0.3409,0.4082,0.4158,0.8062,0.4432
"2276",121,40,1.1035,0.6159,0.0352,0.4656,0.2384,0.2478,0.3045,0.4091,0.2788
"2277",121,42,0.3164,0.1766,0.0243,0.3654,0.3321,0.2246,0.2267,0.3811,0.3428
"2278",121,46,0.5266,0.2939,0.0147,0.1416,0.2749,0.093,0.0486,0.1333,0.182
"2279",121,47,0.3519,0.1964,0.0042,0.1582,0.045,0.0918,0.1915,0.1334,0.112
