"","COUNTYA","STATEA","Entropia","Entropia_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"2534",153,27,0.0539,0.0301,0.0988,0.8407,0.362,0.405,0.7931,0.902,0.5751
"2535",153,28,0.6935,0.387,0.2343,0.4613,0.6076,0.5245,0.4563,0.6714,0.8262
"2536",153,29,0.0816,0.0455,0.0502,0.8041,0.2561,0.28,0.7143,0.9167,0.3988
"2537",153,31,0.463,0.2584,0.0769,0.4165,0.3286,0.2478,0.2868,0.2185,0.2224
"2538",153,37,0.7222,0.4031,0.218,0.4804,0.571,0.4385,0.4462,0.7376,0.736
"2539",153,39,0.471,0.2628,0.4355,0.7428,0.4617,0.3381,0.6255,0.7372,0.4868
"2540",153,40,0.3125,0.1744,0.0878,0.7419,0.4212,0.2567,0.7527,0.7032,0.4915
"2541",153,47,0.0302,0.0169,0.0908,0.9183,0.706,0.2921,0.84,1,0.72
"2542",153,48,0.8458,0.472,0.1155,0.5099,0.5247,0.2694,0.2647,0.7889,0.6889
"2543",153,51,0.6891,0.3846,0.0667,0.3197,0.2449,0.2829,0.2065,0.2725,0.2395
"2544",155,13,0.6631,0.3701,0.3159,0.5164,0.6175,0.4014,0.2388,0.9113,0.791
"2545",155,17,0.1445,0.0806,0.0764,0.5887,0.647,0.3246,0.3237,0.746,0.6905
"2546",155,18,0.0583,0.0325,0.1188,0.6051,0.347,0.5189,0.7758,0.6,0.7182
"2547",155,19,0.1679,0.0937,0.1055,0.5993,0.3748,0.3539,0.4768,0.5594,0.4733
"2548",155,20,0.3512,0.196,0.1442,0.5637,0.4461,0.4026,0.3531,0.5143,0.4872
"2549",155,21,0.3362,0.1876,0.1945,0.5197,0.6035,0.4953,0.6172,0.639,0.6429
"2550",155,26,0.1431,0.0799,0.0514,0.5478,0.3757,0.2409,0.564,0.6664,0.4025
"2551",155,27,0.1645,0.0918,0.1978,NA,0.3107,0.4079,NA,NA,0.4375
"2552",155,28,0.569,0.3176,0.1425,0.2838,0.6967,0.4581,0.5048,0.7882,0.9298
"2553",155,29,0.6189,0.3454,0.3143,0.5735,0.6107,0.4031,0.5118,0.6557,0.6979
"2554",155,31,0.0725,0.0405,0.1176,0.5522,0.5577,0.385,0.6497,0.6182,0.6097
"2555",155,37,1.1309,0.6312,0.336,0.5036,0.5449,0.4835,0.5114,0.707,0.6408
"2556",155,39,0.3245,0.1811,0.3484,0.6948,0.5496,0.3178,0.6384,0.7944,0.5383
"2557",155,47,0.0999,0.0558,0.1138,0.6404,0.4913,0.3154,0.6958,0.6398,0.4778
"2558",155,48,0.5892,0.3288,0.042,0.4312,0.749,0.1051,0.3901,0.9315,0.8541
"2559",155,51,0.2752,0.1536,0.1374,0.4709,0.4846,0.3396,0.4431,0.5086,0.6254
"2560",157,13,0.3783,0.2111,0.1081,0.4176,0.3916,0.2358,0.552,0.371,0.4838
"2561",157,17,0.3709,0.207,0.3949,0.7658,0.4537,0.5907,0.3052,0.7609,0.7244
"2562",157,18,0.3567,0.1991,0.136,0.3581,0.5443,0.2877,0.2575,0.4432,0.4088
"2563",157,19,0.1174,0.0655,0.1631,0.6726,0.4758,0.5559,0.6214,0.3903,0.4114
"2564",157,20,0.0474,0.0264,0.1411,0.7315,0.7332,0.4788,0.7333,0.6667,0.8
"2565",157,21,0.0532,0.0297,0.0856,0.8338,0.5952,0.2739,0.7729,0.7667,0.5028
"2566",157,26,0.2111,0.1178,0.1153,0.7361,0.5317,0.2629,0.6928,0.6432,0.5432
"2567",157,27,0.0764,0.0426,0.0964,0.6795,0.4913,0.2905,0.6329,0.7303,0.5348
"2568",157,28,0.6699,0.3739,0.1208,0.348,0.9152,0.4066,0.3236,0.8936,0.8444
"2569",157,29,0.0733,0.0409,0.0961,0.7412,0.4953,0.34,0.8119,0.9853,0.5523
"2570",157,31,0.5441,0.3037,0.1701,0.646,0.4215,0.4505,0.5575,0.6443,0.5721
"2571",157,37,0.5749,0.3209,0.1585,0.401,0.5349,0.369,0.4449,0.6047,0.594
"2572",157,39,0.091,0.0508,0.1544,0.5881,0.5626,0.4346,0.6978,0.7645,0.6684
"2573",157,47,0.7898,0.4408,0.5345,0.7664,0.3918,0.4102,0.686,0.7881,0.4916
"2574",157,48,1.1662,0.6509,0.2859,0.6761,0.4471,0.465,0.5465,0.7147,0.6657
"2575",157,51,0.3452,0.1927,0.0392,0.2346,0.4442,0.1639,0.1225,0.3827,0.4237
"2576",159,13,0.7053,0.3937,0.0977,0.2667,0.4338,0.2703,0.354,0.6065,0.3614
"2577",159,17,0.0642,0.0358,0.0843,0.6997,0.435,0.3161,0.7925,0.8359,0.3585
"2578",159,18,0.0833,0.0465,0.0666,0.6419,0.2889,0.2941,0.7025,0.6122,0.394
